;Grupos;Semanas;Quantidade
0;Grupo 0;1-7 Agosto;0.0
1;Grupo 1;1-7 Agosto;0.0
2;Grupo 0;8-15 Agosto;0.0
3;Grupo 1;8-15 Agosto;0.0
4;Grupo 0;16-24 Agosto;0.0
5;Grupo 1;16-24 Agosto;0.0
6;Grupo 0;25-31 Agosto;0.0
7;Grupo 1;25-31 Agosto;0.0
8;Grupo 0;1-7 Setembro;0.0
9;Grupo 1;1-7 Setembro;0.0
10;Grupo 0;8-15 Setembro;0.0
11;Grupo 1;8-15 Setembro;0.0
12;Grupo 0;16-24 Setembro;0.0
13;Grupo 1;16-24 Setembro;0.0
14;Grupo 0;25-30 Setembro;0.0
15;Grupo 1;25-30 Setembro;0.0
16;Grupo 0;1-7 Outubro;0.0
17;Grupo 1;1-7 Outubro;0.0
18;Grupo 0;8-15 Outubro;56.0
19;Grupo 1;8-15 Outubro;64.0
20;Grupo 0;16-24 Outubro;261.0
21;Grupo 1;16-24 Outubro;277.0
22;Grupo 0;25-31 Outubro;23.0
23;Grupo 1;25-31 Outubro;28.0
24;Grupo 0;1-7 Novembro;21.0
25;Grupo 1;1-7 Novembro;18.0
26;Grupo 0;8-15 Novembro;25.0
27;Grupo 1;8-15 Novembro;37.0
28;Grupo 0;16-24 Novembro;51.0
29;Grupo 1;16-24 Novembro;52.0
30;Grupo 0;25-30 Novembro;83.0
31;Grupo 1;25-30 Novembro;111.0
32;Grupo 0;1-7 Dezembro;61.0
33;Grupo 1;1-7 Dezembro;78.0
34;Grupo 0;8-15 Dezembro;153.0
35;Grupo 1;8-15 Dezembro;199.0
36;Grupo 0;16-24 Dezembro;14.0
37;Grupo 1;16-24 Dezembro;14.0
38;Grupo 0;25-31 Dezembro;63.0
39;Grupo 1;25-31 Dezembro;87.0
